,Acurácia,Precision,Recall,F1
KNN,0.9695997494170533,0.8945573861863337,0.9615004809907358,0.9267869728533845
MLP,0.918497698600094,0.8534902708382979,0.7613197905551728,0.7627288228290116
RandomForest,0.9834000196660337,0.9742001750196065,0.9420012216114165,0.9578008737240035
